(10) rounds of ammunition,Bullets,"(Diez) balas, (diez) disparos",
Rampage,,"1) Andar rabioso, alborotarse.  2) Comportamiento violento, alboroto, tumulto.",
Rape kit,,Equipo de an‡lisis de violaci—n.,
Rapport of sorts,,Clima de confianza y solidaridad.,
Ratificar,"Aprobar o confirmar actos, palabras o escritos d‡ndolos por valederos y ciertos.","(tratado/contrato) ratify, (persona en un puesto) confirm, (noticia) confirm",
Ravine,,Barranco profundo.,
"Reasonable doubt, beyond",,Sin lugar a duda racional.  M‡s all‡ de duda razonable.,
Rebuttal,,"Descargo,refutaci—n, prueba en contrario.",
Rebuttal witness,,Testigo de descargo/refutaci—n.,
Recall,,Retirada.,
Reckless,Peor que descuidadamente.,"Con imprudencia o negligencia grave o evidente.  Con indiferencia respecto de las consecuencias de la propia conducta.  Temerario, que supone culpa.  Imprudente, insensato, irresponsable.",
Reckless driving,,Imprudencia temeraria al conducir.,
Reckless endangerment of child,,Arriesgar a un ni–o temerariamente.,
Recklessness,,"Imprudencia, temeridad.",
Reconducir,Prorrogar t‡cita o expresamente un arrendamiento.,,
Reconvene,,"Convocar o reunirse de nuevo, reanudar una sesi—n.",
Record,,Registrar.,
"Record, on the",,Que conste en el acta/expediente.,
Recta,,"Honest, honorable.",
Redetermination hearing (Juvenile),The objective is to find out whether the purpose of CHINS has been accomplished or not.,Audiencia de resoluci—n.,
Redirect,,"Repreguntar, segundo interrogatorio directo.",
Referral,,Mandar.  Ejemplo:  Me mandaron al especialista.,
Registrar,,"Funcionario encargado de llevar los registros de nacimientos, defunciones, etc.",
Regulation,,"Norma, reglamento.",
Regulatory crime,"Statutory crime, as opposed to a common-law crime.",Contravenci—n.,
Release,,"Puesta en libertad, liberaci—n.  Librar, liberar, soltar, poner en libertad.  (Info) Dar a conocer, divulgar, publicar, revelar, hacer pœblico.",
Reliability,,Confiabilidad.,
Relief,,"Subsanacion, alivio, ayuda, socorro, auxilio.",
Remand,"The act or an instance of sending something (such as a case, claim, or person) back for further action.",Remitir.,
Remission,,Remisi—n.,
Remit,,"1) (n) Mandato, precepto.  2) (v) Perdonar, condonar, eximir, exonerar, enviar, hacer remesas.  Remitir (transferir).",
Render,,"Presentar, prestar, rendir, dar.",
Reprisal,,Represalia.,
Repugnant to ,,Contrario a.,
Request,(legal) To move.,Pedir.,
Request for production of documents,"In pretrial discovery, a party's written request that another party provide specified documents or other tangible things for inspection and copying.",Solicitud para la producci—n de documentos.,
Reservation,,(Doubt/qualification) Reserva.,
Resist arrest,,Resistirse a la autoridad.,
"Rested, everyone is",,Las partes no tienen nada m‡s que alegar.,
Restitution,,(Formal) devoluci—n.  (Law) indemnizaci—n.  Monto por da–os.,
Restraining order,,"Orden de protecci—n, orden de restriccion, auto de prohibicion.",
Retain,,Contratar los servicios de un abogado.,
Retainer,,Cuota de contrataci—n.,
Retaliation,,Represalia.,
Return of service,,Acuso de recibo.,
"Revealed, Immigration record checks",,La comprobacion de los archivos de inmigracion puso de manifiesto,
Reviewer,,Cr’tico.,
Revuelto,,Topsy turvy.,
Rifar ganga,,To flash gang signs.,
Right out of the box,It means a product is ready for use; no set up is required.,Listo para su uso.,
Rioting,,"Des—rdenes o disturbios callejeros, sedici—n.",
Robbery,"n. 1) the direct taking of property (including money) from a person (victim) through force, threat or intimidation. Robbery is a felony (crime punishable by a term in state or federal prison). ""Armed robbery"" involves the use of a gun or other weapon which can do bodily harm, such as a knife or club, and under most state laws carries a stiffer penalty (longer possible term) than robbery by merely taking. 2) a term improperly used to describe thefts, including burglary (breaking and entering) and shoplifting (secret theft from the stock of a store), expressed: ""We've been robbed.""","Robo, asalto(con fuerza o intimidaci—n).",
"Robbery, armed",,Asalto/atraco a mano armada.,
Routine picketing by striking unions,,Actuaci—n rutinaria de piquetes sindicales durante huelgas.,
Roving wiretap,,Escuchas telef—nicas ambulantes/m—viles.,
Rule 17,Rule of criminal procedure.  You can summon records/documents from a third party.,Regla 17.,
Rules of disclosure,,Normas sobre la revelaci—n de pruebas.,
Rules/Principles of law,,Doctrina jur’dica.,
Ruling,,Dictamen.,
Rummage,"Ferret, ferret around.",Hurgar.,
Rung,,Pelda–o.,
"Running jump, to take a",To get lost.,Desaparecerse.,
Safe house,Unofficial detention facility.,"Piso franco, enterradero (Fuente:  Oxford).
Casa de arraigo (Fuente:  wordreference).",
Safety devices,,Mecanismos de seguridad.,
Salvage,,"Salvamento, premio por salvamento.",
Sanction,,"Aprobaci—n, autorizaci—n, sanci—n, ratificaci—n.",
Savage beating,,"Paliza salvaje, violenta.",
Sawhorse,,"Caballete, burro para serrar.",
"Scene of property damage, leave",,Abandonar el lugar donde ocurri— el da–o a la propiedad.,
Scenic,,1) Pintoresco.  2) Panor‡mico.  3) De un paisaje.,
Schedule,,"Anexo, apŽndice.  2) (v) Fijar fecha.",
Scope,,"Alcance, ‡mbito de aplicaci—n.",
Scooter,,"1) Patinete, patineta, monopat’n.  2) Escœter, vespa, motoneta.",
"Screen, back door",,Puerta de tela met‡lica/de red de alambre.,
Screening,,"Investigaci—n de antecedentes, revisi—n, chequeo.",
Screwdrivers,,"Desarmadores, destornilladores.",
Scuffle,,"1) Escaramuza, enfrentamiento  2) Correteo.",
Search,,"1) (hunt, quest) bœsqueda.  2) (examination, scrutiny Ð of buildings, pockets) registro, esculque, inspecci—n, examen; body search Ð cacheo, requisa; house search Ð registro domiciliario, allanamiento",
Search and seizure,,Registro e incautaci—n.,
SEC,,Comisi—n de Valores y Bolsa.,
Second call,,Segundo llamado.,
Secretary of Defense,,Secretario(a) de Defensa.,
Secretary of State,,Secretario(a) de Estado.,
Section 35,"Treatment program (drug addiction, mental problems).",Art’culo 35.,
Secure,,"1) Conseguir, obtener.  2) Asegurar.",
"Seguidita, en",,Right next door.,
Seguir la corrida,,To follow the crops.,
Sell out,,Venderse a alguien/algo.,
Semi attention stance,,Posici—n de semi atenci—n.,
Senior inspector,,Inspectora jefe.,
Sentence,,"Sentencia.
",
Sentence hearing,,Audiencia para determinar/imponer la condena/sentencia/pena.,
Se–or licenciado,,Sir.,
Separaci—n de bienes,,Division/separation of property.,
Sequestered,,Aislados.,
Serve,,Hacer entrega de.,
Servicer (mortgage lingo),,Recaudador.,
"Servicio, ir al","Eufemismo en P.R. para Òir al ba–oÓ (excusado, poceta, inodoro, W.C., etc.)",To go to the bathroom.,
Set up,,Tenderle una trampa a.,
Settlement,,"(of dispute) (re)soluci—n, (agreement) acuerdo, convenio.",
Sever,,"Cortarse, romperse.",
Severance,,"1) Ruptura, 2) Indemnizaci—n por cese.",
Sewer,,"Alba–al, alcantarilla.",
Sexual conduct for a fee,,"Prostituci—n, favores sexuales por tarifa.",
Sharp (pain),,"Dolor agudo, fuerte.",
Sheetrock,,"Placa de yeso, pladur (Spain).",
Shelter,,Refugio.,
Sheriff,"Funcionario inferior de justicia, normalmente de un condado, que ejecuta las ordenes del tribunal a quien sirve.",1) ChŽrif 2) Alguacil.,
Shock,,Shock.,
Shoplifting,,Rater’a/hurto en las tiendas.,
Shortsighted,,Con poca visi—n de futuro.,
Sidebar,,Consulta en el estrado entre abogados y el/la juez(a).,
Sideswipe,,Rozar.,
Silicone breast implants,,Implantes de pecho de silicona.,
Sine qua non,,Fundamental,
Sinverguenza,,"(canalla) swine, (humor’stico) ni–o (travieso) naughty, (estafador, ladr—n) crook, (p’caro) rascal, little devil.",
Skank,"Disgusting or vulgar matter, filth.  One who is disgustingly foul or filthy and often considered sexually promiscuous.  Used especially of a woman or a girl.",Mujer sucia/basura.,
Slate,"1) Criticize 2) Scheduled 3) Chosen, destined.  4) For writing on.  5) List of candidates, listed items.","1) Poner por los suelos.  2) La convenci—n est‡ programada para Marzo.  3) He's slated to replace the director.  4) (to have a clean slate) no tener borrones en la hoja, (to wipe the slate clean) hacer borr—n y cuenta nueva,  (to put something on the slate) anotarlo en la cuenta.  5) Lista de candidatos, lista de ofertas.",
Slur,,"Dificultad al hablar, arrastrar las palabras.",
Smack,,"Manotada, palmada, cachetada, bofetada.",
"Smoking guns, the wallets are your",,Las billeteras te delatan.,
Smuggle,,"Contrabandear, pasar de contrabando/a escondidas, en forma clandestina.",
Snitch,Rat.,Sopl—n.,
Snort,,Inhalar.,
Social benefits,,Prestaciones sociales.,
Sod,,"Tierra, suelo.",
Soslayar,,"Avoid, get around.",
Source language,,Lengua de partida.,
SP,State police.,Polic’a estadal.,
Speculate,,Especular.,
"Speculation, calls for",,La pregunta mueve a la especulacion.,
Speeding,,Exceso de velocidad.,
Spotlight,,"Luz direccional, de foco.",
Squeal,,"Sapear, cantar, delatar a alguien.",
SSDI,,Ingreso por discapacidad de la Seguridad Social.,
SSI,,Ingreso por Seguridad Social.,
Stab,,Apu–alar.,
Stalking,,Acecho.,
Stand,,"Estrado, banquillo de los testigos.",
Stand by basis,,En espera/en alerta/en reserva.,
Standard,,"Norma, est‡ndar.",
"Standard of proof, highest",,Tipo de la carga de la prueba m‡s estricto.,
"Standing Order 1-88 and the time standards Tracking Order, in accordance with",,de acuerdo con la Orden Vigente 1-88 y los lapsos pautados en el Plazo Procesal.,
Starter,,Motor de arranque.,
Statement,,"Declaraci—n, afirmacion.",
"Status of the case, what is the?",,C—mo va el caso?  Cu‡l es la situaci—n del caso?,
Status review,,"Revisi—n de la situaci—n/del caso, revisi—n jur’dica.",
Statutory rape,,Estupro.,
Statutory time,,Tiempo reglamentario.,
Stay away order,,Orden de alejamiento.,
Stipulate,,"Estipular (las dos partes se ponen de acuerdo en algo en particular), establecer o disponer.",
Stock exchange trading,,Contrataci—n en bolsa.,
Straddling,,Justo por encima.,
Struggle,,"Forcejear, luchar.",
Sua sponte,Latin Òof one's own accord; voluntarilyÓ.  Without prompting or suggestion; on its own motion (the court took notice sua sponte that it lacked jurisdiction over the case).,Por su propia iniciativa.,
Subdued,,"1) Deprimido, alica’do.  2) Discreto, bajo.",
Submit,,"Presentar, someter. 2) Pensar (em materia jur’dica).",
Suboxone,Nombre comercial del naloxone.  Tiene el mismo uso que el subutex.,Suboxone.,
Subpoena,"Orden a una persona para que comparezca en juicio, testifique o presente cierta documentaci—n u otros elementos probatorios.  Como verbo, someter a una persona a una orden de comparecencia en juicio, de dar testimonio o de presentar documentaci—n u otros elementos probatorios.",Citaci—n judicial con apercibimiento.,
Substantive criminal law,Specifying crimes and defenses.,Derecho penal substantivo.,
Subutex,"Nombre comercial de la buprenorfina (buprenorphine en inglŽs).  Se usa para tratar la adicci—n a drogas opi‡ceas, al eliminar los s’ntomas de abstinencia.",Subutex.,
Succint,,"Sucinto, conciso.",
"Sucks, it",,Es una mierda.,
Summary judgment,,Decisi—n en relaci—n al proceso sumario.,
Summary process,,Proceso sumario.,
Summons,,"Citatorio formal, emplazamiento.",
Summons and complaint,,"Demanda y citatorio, citaci—n judicial.",
Summons arraignment,,Citaci—n para lectura de cargos.,
"Summons, to issue a",,Emitir una citaci—n.,
"Summons, to serve a",,Entregar/notificar una citaci—n/emplazamiento.,
Superintendent,,Superintendente.,
Supplementary process,,"Proceso suplementario, adicional.",
Supporter,,Partidario.,
Suppress,,"Eliminar, suprimir, excluir.",
Surety,,"1) Fiador, garante.",
Suretyship,"The relationship between the surety, the principal debtor, and the creditor.",Garant’a/fianza.,
Surrebuttal,The response to the opposing party's rebuttal in a trial/other proceeding.,                                                                     ,
Surrender,The procedure by which a probation officer requires a probationer to appear before the court for a judicial hearing regarding an allegation of a probation violation.,Comparecencia ante el juez por supuesta violaci—n de probaci—n.,
Surrender arraignment,,Lectura de cargos por violar la probaci—n.  Acusaci—n o procesamiento por violar la probaci—n.,
Surrender notice,,Notificaci—n de la violaci—n de las condiciones de Probaci—n.,
Surrogate,,Sustituto.,
Suspended sentence,,"Condena condicional, suspendida.",
Sustained,,Petici—n con lugar.,
Swab,,"(of cotton) hisopo hœmedo; (specimen) frotis, muestra.",
Swaying and swerving,,Tambale‡ndose/balance‡ndose/meciŽndose y virando bruscamente/zigzagueando.,
Swear in,,Juramentar.,
Swerve,,"Virar bruscamente, zigzaguear.",
Switchblade,,Navaja autom‡tica o de resorte.,
Sympathetic,,"Comprensivo, favorable, bien dispuesto, receptivo, cordial, fiel.",
Table,To delay (They tabled the motion).,"Posponer, diferir, postergar.",
Tagging,"Delito que consiste en marcar las paredes o la propiedad ajena con s’mbolos y graffiti, generalmente relacionado con las pandillas.","Pintar graffiti, plaquear.",
Taint,,"Contaminar, mancillar, deshonrar.",
Tantalize,,"1) Atormentar, martirizar.  2) Tentar, atraer.",
Tar,,"Alquitr‡n, brea.  Embrear.",
Target language,,Lengua de llegada.,
Task force,,"Equipo operativo, grupo de trabajo.",
Taunt,,"Hostigar, provocar, burlarse, mofarse.",
Teamster,Miembro del sindicato del transporte,Conductor de veh’culos grandes.,
Temporary protected status (TPS),,Situaci—n de protecci—n temporal.                                          ,
Tender of plea,,Propuesta de declaraci—n (de culpabilidad).,
Test,,"Prueba, examen, an‡lisis.",
Testimony,,Prueba testifical.,
Thereof,,"Del mismo, de los mismos, de eso, de estos.",
Thigh,,Muslo.,
Thrashing,,"Paliza, tunda.",
Throes,,Pleno proceso.,
"Ties to the community, because of her strong",,Por sus fuertes v’nculos/lazos en la comunidad.,
Tipo,,"Guy, character.",
Title deed,,Escritura de propiedad de un bien.,
T’tulo,,Title.,
Toda gre–a,,Like all get out.,
"Token, By the same",,"De igual modo, del mismo modo, de la misma manera.",
Tort,,Il’cito civil extracontractual.  Derecho de da–os.,
"Trabada por dentro, bien",,Securely bolted from the inside.,
"Track, the case is back on the trial",,Se reinstaura el proceso judicial.,
Track down,,"Averiguar el paradero de, dar con, localizar, encontrar, (track) seguirle la pista a.",
Tracking Order.  In accordance with Standing Order 1-88 and the time standards,,de acuerdo con la Orden Vigente 1-88 y los lapsos pautados en el Plazo Procesal.,
Trademarks,,Marcas registradas.,
Traffic weight,,Peso consistente con tr‡fico.,
"Trafficking within a 1,000 ft. of a school zone",,Tr‡fico de drogas dentro de una zona escolar.,
Trailer,,"Remolque, casa rodante, tr‡iler.",
Tramar,,"To scheme, to plot.",
Transcript,,Transcripci—n.,
Transgress,,"Transgredir, infringir.",
Trastornar,,"1) To disturb, to drive someone out of his/her mind.  2) To upset, to disrupt.",
Travel mitt,Travel permit.,Permiso para viajar.,
Treason,,Traici—n.,
Treasury department,,Ministerio de hacienda.,
Trendsetter,,Persona que inicia una moda.,
Trespassing,,"Entrada ilegal, entrar o estar ilegalmente en un terreno o propiedad ajenos.  Invasi—n.",
Trial court,,"Juzgado de primera instancia, tribunal de lo contencioso (materia administrativa).",
"Trial, speedy",,Celeridad procesal.,
Trial order,"Upon scheduling a case for trial, the court shall issue a Trial Order requiring the parties to prepare for trial. Failure of any party to prepare for trial as required by such order may result in preclusion of evidence or other sanctions in the discretion of the trial judge.",Orden de preparaci—n para juicio.,
Trooper,,Agente.,
"Troubling, extremely",,"Extremadamente penoso, perturbador.",
Truancy,,"Inasistencia injustificada a la escuela, holgazaner’a.",
Trustee (of property),Fiduciary,Fiduciario.,
Tumbler,,"Acr—bata, volatinero.",
Turrett tape,Or 911 tape,Casette 911.,
Twofold,"Twice as many, two ways (depends on context).","Consecuencia/implicaci—n doble, doble cantidad, etc.",
U.S. Attorney General,,Secretario de Justicia de Estados Unidos.,
"U.S. Attorney, office of the",,Despacho del Fiscal Federal.,
Ulcerative colitis,,Colitis ulcerosa.,
Umbrella company,,Compa–’a que aglutina.,
Undercover agent,,Agente secreto/clandestino/encubierto.,
Underestimate,,Subestimar.,
Undersigned,,"Abajo firmante, suscrita, que suscribe.",
Undertake,,Emprender.,
Unethical,,"Inmoral, poco Žtico.",
Unfit parent,,"Padre incapaz, inepto, inadecuado, no apto.",
Untoward,,"Perjudicial, adverso.",
Unusual,,"Desusada, fuera de lo comœn/normal, inusual, raro, inusitada, ins—lita.",
Upheaval,,"Agitaci—n, perturbaci—n, trastorno, trauma.",
Upset,Depende del contexto.  Asegurarse siempre antes de interpretar.,"Molesto, enojado, preocupado, alterado, nervioso.",
(Utter) counterfeit note,,(Poner en circulaci—n) dinero/documentos falsos.,
Vacated,An order/judgment is vacated when it's annulled or otherwise removed either by the issuing judge or by an appellate court.,"Anulado, invalidado, revocado.",
Vandalize,,"Destrozar, estropear.",
Vanity case,,Neceser.,
Vapulear,,"To beat, give a beating.",
Vato,,Dude.,
Vendido Žse,,That sellout/turncoat.,
Venire,A panel of persons selected for jury duty and from among whom the jurors are to be chosen.,Grupo de posibles jurados.,
Venture,,"Operaci—n, empresa, colaboraci—n.",
Venue,,"Territorio jurisdiccional, jurisdicci—n, lugar.",
Victim's impact statement,Declaraci—n que dan las v’ctimas acerca de c—mo les afect— la conducta del acusado.,Declaraci—n sobre el impacto en la/s v’ctima/s.,
Victim/witness advocate,,Intercesor(a) de las v’ctimas y testigos.,
Victim/witness fee,,Costa de v’ctimas y testigos.,
Videoconference,,Videoconferencia.,
Violation,,"Transgresi—n, infracci—n, violaci—n.",
Visitation,,Visitas.,
Vitreopapillary traction of nerve right eye,Vitreos humor is pulling the disc of the optic nerve.,Tracci—n vitreopapilar (nervio) del ojo derecho.,
Voir dire,"Examen preliminar hecho por el juez a probables testigos o miembros del jurado o al acusado dispuesto a confesarse culpable, con el prop—sito de comprobar si est‡n en su sano juicio y/o pueden aportar pruebas fidedignas. [Este tŽrmino en su origen normando significa Òdecir la verdadÓ].",Examen preliminar de un candidato a jurado (por las partes y el juez).,
Volar,"Coloquialismo mexicano que significa robar, afanar (coloquial).","Cop, boost.  Colloquialism for stealing.",
Voluntariness hearing,,Vista en la que se vea la voluntariedad.,
Voto discrepante,,Dissenting vote/opinion.,
Waive,,"Renunciar a, ceder, inhibirse, no hacer uso de, dispensar, pasar por alto, no tomar en consideraci—n, suspender, no aplicar (regla), no exigir (condici—n).",
Waive a claim,,"Renunciar a una pretensi—n, renunciar al derecho de presentar una demanda.",
Waive an irregularity,,Salvar una irregularidad o defecto de forma.,
Waive his/her presence.,,Decidir no presentarse.,
Waive one's rights,,Abdicar su derecho.,
Waive the breach,,Condonar la infracci—n.,
Waive the formal reading? Do you want to,,Le importa que no se haga la lectura formal de los cargos?,
Waive the right to institute any proceeding,,Renunciar a cualquier derecho.,
Waiver,,"(of rule) no aplicaci—n, exenci—n.  (of payment) exoneraci—n.  (of claim, right) renuncia.  (document) documento de renuncia.",
Waiver clause,,"Cl‡usula de no renuncia al derecho de abandono, por parte del asegurado, o del de aceptaci—n del abandono por parte del asegurador.",
Waiver of counsel,,Renuncia al derecho de representaci—n legal.,
Waiver of exemption,,Renuncia de exenci—n.,
Waiver of immunity,,Renuncia al fuero/inmunidad.,
Waiver of jury,,Renuncia al derecho de juicio con jurado.,
Waiver of notice,,Renuncia de citaci—n o de aviso.,
Waiver of performance,,Renuncia de cumplimiento espec’fico.,
Waiver of protest,,Excusa de protesto.,
Waiver of rendition,Rendition:  the return of a fugitive from one state to the state where the fugitive is accused or convicted of a crime.,Renuncia de extradici—n???,
Waiver of tort,,Renuncia de da–os por agrav’o.,
Wander around,,"1) Pasear.  2) Deambular, vagar, caminar sin rumbo fijo, vagar.",
Wanton,"It connotes malice, while reckless does not.","Temerario, malicioso, con culpa grave/asimilable al dolo o malicia, condici—n gravemente desordenada de una conducta.  Licencioso, lascivo, libertino.",
Warrant,,"Orden judicial de detenci—n (persona)/requisici—n (propiedad), orden, auto, mandamiento, autorizaci—n.",
"Warrant, bench",Orden que emite un juez (generalmente por incomparecencia y sin fianza),Orden judicial de detenci—n emitida por desacato o desobediencia al tribunal.,
"Warrant, default",,Orden de detenci—n por incomparecencia.,
"Warrant, outstanding",,Orden de detenci—n pendiente/activa.,
"Warrant, probation",,Orden de detenci—n por incumplimiento de la libertad a prueba.,
Warrant recall,,Anular la orden (de detenci—n).,
"Warrant, search",,"Orden de allanamiento, auto de registro.",
"Warrant, serve a",,Ejecutar una orden de detenci—n.,
"Warrant, straight","A warrant that the defendant knows nothing about (as opposed to a default warrant, for example).  Issued by the clerk magistrate.",Orden de detenci—n emitida por el magistrado/secretario.,
"Warrant, VP",Violation of probation warrant.,Orden de detenci—n por incumplimiento de la libertad a prueba.,
Warrant clearance,,Resoluci—n del asunto de la orden (de detenci—n).,
Warrant of arrest,,Orden de detencion.,
Watery eyes,,Ojos llorosos/acuosos.,
Waver,,Tambalear.,
Welfare,Department of Transitional Assistance.,Asistencia pœblica.,
Whence,,"De donde, de lo cual, de ah’, de lo que.",
Wherein,,"En el que, en el cual.",
Whistleblower,"Persona que denuncia la existencia de pr‡cticas ilegales, corruptas, etc., dentro de su organizaci—n.","Denunciante, sopl—n.",
White collar offenses,,Delitos de guante blanco.,
White slave traffic,,Trata de blancas.,
Whorls (fingerprints),,"Espirales, remolinos, verticilos.",
Will,,Testamento.,
Willingly,,Voluntariamente.,
Willingness,,"Buena gana, buena voluntad, gusto.",
Wired,,"Micr—fono escondido, oculto.",
Wiretap,,Escucha telef—nica.,
Withdrawal of plea,,Retiro de la contestaci—n de culpabilidad.,
Worker's compensation,,"Compensaci—n o indemnizaci—n por accidentes de trabajo, compensaciones a obreros.",
Writ,,Orden o mandamiento judicial.,
Writ of certiorari,,Auto de avocaci—n.,
Ya estuvo,,That was it.,
Yarda,"(Garden) jard’n, (school) patio.",Spanglish for yard.,
Youthful offender,,Transgresor juvenil.,
Zealot,,"Fan‡tico, partidario acŽrrimo, entusiasta.",
Zip drive,,Unidad de disco zip.,
